experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
q_sweep,axelrod_q_sweep,77,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,28100,True
q_sweep,axelrod_q_sweep,78,lattice,10,10,100,180,3.6,4,5,3,200000,0,83,1,52400,True
q_sweep,axelrod_q_sweep,79,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,50900,True
q_sweep,axelrod_q_sweep,80,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,64300,True
q_sweep,axelrod_q_sweep,81,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,53000,True
q_sweep,axelrod_q_sweep,82,lattice,10,10,100,180,3.6,4,5,3,200000,0,83,1,45600,True
q_sweep,axelrod_q_sweep,83,lattice,10,10,100,180,3.6,4,5,3,200000,0,83,1,42000,True
q_sweep,axelrod_q_sweep,84,lattice,10,10,100,180,3.6,4,5,3,200000,0,78,1,52400,True
q_sweep,axelrod_q_sweep,85,lattice,10,10,100,180,3.6,4,5,3,200000,0,81,1,51900,True
q_sweep,axelrod_q_sweep,86,lattice,10,10,100,180,3.6,4,5,3,200000,0,85,1,50200,True
q_sweep,axelrod_q_sweep,87,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,49300,True
q_sweep,axelrod_q_sweep,88,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,33600,True
q_sweep,axelrod_q_sweep,89,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,118700,True
q_sweep,axelrod_q_sweep,90,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,56700,True
q_sweep,axelrod_q_sweep,91,lattice,10,10,100,180,3.6,4,5,3,200000,0,78,1,57800,True
q_sweep,axelrod_q_sweep,92,lattice,10,10,100,180,3.6,4,5,3,200000,0,76,1,45800,True
q_sweep,axelrod_q_sweep,93,lattice,10,10,100,180,3.6,4,5,3,200000,0,86,1,57300,True
q_sweep,axelrod_q_sweep,94,lattice,10,10,100,180,3.6,4,5,3,200000,0,84,1,73400,True
q_sweep,axelrod_q_sweep,95,lattice,10,10,100,180,3.6,4,5,3,200000,0,83,1,58400,True
q_sweep,axelrod_q_sweep,96,lattice,10,10,100,180,3.6,4,5,3,200000,0,82,1,70100,True
q_sweep,axelrod_q_sweep,97,lattice,10,10,100,180,3.6,4,5,3,200000,0,80,1,60700,True
