experiment,script,seed,topology,grid_x,grid_y,N,edges,avg_degree,avg_k_target,n_features,n_traits,t_max,isolated_nodes,initial_unique_cultures,final_unique_cultures,frozen_step,frozen
f_sweep,axelrod_f_sweep,72,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,2,56600,True
f_sweep,axelrod_f_sweep,73,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,4,49400,True
f_sweep,axelrod_f_sweep,74,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,4,82500,True
f_sweep,axelrod_f_sweep,75,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,3,75100,True
f_sweep,axelrod_f_sweep,76,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,2,79100,True
f_sweep,axelrod_f_sweep,77,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,3,54800,True
f_sweep,axelrod_f_sweep,78,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,1,69100,True
f_sweep,axelrod_f_sweep,79,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,6,82300,True
f_sweep,axelrod_f_sweep,80,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,4,58400,True
f_sweep,axelrod_f_sweep,81,lattice,10,10,100,180,3.6,4,3,5,200000,0,75,4,42800,True
f_sweep,axelrod_f_sweep,82,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,48000,True
f_sweep,axelrod_f_sweep,83,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,1,42600,True
f_sweep,axelrod_f_sweep,84,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,2,62900,True
f_sweep,axelrod_f_sweep,85,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,8,32500,True
f_sweep,axelrod_f_sweep,86,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,1,34600,True
f_sweep,axelrod_f_sweep,87,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,3,39400,True
f_sweep,axelrod_f_sweep,88,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,2,43500,True
f_sweep,axelrod_f_sweep,89,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,2,47600,True
f_sweep,axelrod_f_sweep,90,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,3,88100,True
f_sweep,axelrod_f_sweep,91,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,5,74000,True
f_sweep,axelrod_f_sweep,92,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,58500,True
f_sweep,axelrod_f_sweep,93,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,87500,True
f_sweep,axelrod_f_sweep,94,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,4,54600,True
f_sweep,axelrod_f_sweep,95,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,8,125500,True
f_sweep,axelrod_f_sweep,96,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,2,70900,True
f_sweep,axelrod_f_sweep,97,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,1,122200,True
f_sweep,axelrod_f_sweep,98,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,2,58800,True
f_sweep,axelrod_f_sweep,99,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,1,45100,True
f_sweep,axelrod_f_sweep,100,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,2,49100,True
f_sweep,axelrod_f_sweep,101,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,3,44200,True
f_sweep,axelrod_f_sweep,102,lattice,10,10,100,180,3.6,4,3,5,200000,0,63,7,69600,True
f_sweep,axelrod_f_sweep,103,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,2,82800,True
f_sweep,axelrod_f_sweep,104,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,6,26700,True
f_sweep,axelrod_f_sweep,105,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,1,49700,True
f_sweep,axelrod_f_sweep,106,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,3,41000,True
f_sweep,axelrod_f_sweep,107,lattice,10,10,100,180,3.6,4,3,5,200000,0,69,1,81200,True
f_sweep,axelrod_f_sweep,108,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,1,119500,True
f_sweep,axelrod_f_sweep,109,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,5,81700,True
f_sweep,axelrod_f_sweep,110,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,3,85400,True
f_sweep,axelrod_f_sweep,111,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,3,53700,True
f_sweep,axelrod_f_sweep,112,lattice,10,10,100,180,3.6,4,3,5,200000,0,73,3,41900,True
f_sweep,axelrod_f_sweep,113,lattice,10,10,100,180,3.6,4,3,5,200000,0,72,3,114400,True
f_sweep,axelrod_f_sweep,114,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,5,57700,True
f_sweep,axelrod_f_sweep,115,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,8,62300,True
f_sweep,axelrod_f_sweep,116,lattice,10,10,100,180,3.6,4,3,5,200000,0,66,4,45900,True
f_sweep,axelrod_f_sweep,117,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,41300,True
f_sweep,axelrod_f_sweep,118,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,2,47800,True
f_sweep,axelrod_f_sweep,119,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,1,54400,True
f_sweep,axelrod_f_sweep,120,lattice,10,10,100,180,3.6,4,3,5,200000,0,65,1,90300,True
f_sweep,axelrod_f_sweep,121,lattice,10,10,100,180,3.6,4,3,5,200000,0,67,3,78900,True
f_sweep,axelrod_f_sweep,122,lattice,10,10,100,180,3.6,4,3,5,200000,0,63,1,43300,True
f_sweep,axelrod_f_sweep,123,lattice,10,10,100,180,3.6,4,3,5,200000,0,74,5,27600,True
f_sweep,axelrod_f_sweep,124,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,3,46800,True
f_sweep,axelrod_f_sweep,125,lattice,10,10,100,180,3.6,4,3,5,200000,0,68,6,40900,True
f_sweep,axelrod_f_sweep,126,lattice,10,10,100,180,3.6,4,3,5,200000,0,70,4,58900,True
f_sweep,axelrod_f_sweep,127,lattice,10,10,100,180,3.6,4,3,5,200000,0,71,1,31600,True
